File Name,Mean (V),Median (V),Min (V),Max (V),Std Dev (V)
C2_BG2_26.bin,1.3587473224458297,0.0,-19.53125,15.625,3.695232008070378
C2_BG2_24.bin,1.3753464737344163,0.0,-19.53125,19.53125,3.731709149944066
C2_BG2_28.bin,0.9869890750839295,0.0,-19.53125,15.625,3.790614614426987
C2_BG2_3.bin,0.7919677019059365,0.0,-19.53125,15.625,3.605346696398938
C2_BG2_29.bin,1.2229186110542158,0.0,-19.53125,19.53125,3.788576288516368
C2_BG2_4.bin,1.0424731124455737,0.0,-19.53125,19.53125,3.731245173299228
C2_BG2_5.bin,1.2492583219953788,0.0,-15.625,19.53125,3.7096970681468577
C2_BG2_30.bin,1.3489528504188075,0.0,-19.53125,19.53125,3.7604878279168337
C2_BG2_6.bin,1.109101775211664,0.0,-19.53125,19.53125,3.735346449832523
C2_BG2_8.bin,1.0991357993268036,0.0,-19.53125,19.53125,3.744684510239117
C2_BG2_7.bin,1.1942141783556612,0.0,-19.53125,15.625,3.7672875770232754
C2_BG2_9.bin,1.2734649781215146,0.0,-19.53125,19.53125,3.7029065396689504
C2_BG3_12.bin,0.20102361753295175,0.0,-66.40625,70.3125,14.542385901934965
C2_BG3_10.bin,0.10725710628227367,0.0,-70.3125,70.3125,14.847929490594455
C2_BG3_1.bin,0.22386097748204195,0.0,-58.59375,54.6875,11.403064140141213
C2_BG3_11.bin,0.026679593301799084,0.0,-70.3125,74.21875,14.607607348147484
C2_BG3_13.bin,-0.004257514903693059,0.0,-70.3125,74.21875,14.688435001845619
C2_BG3_14.bin,0.004089136400895142,0.0,-66.40625,66.40625,14.717977804866775
C2_BG3_15.bin,0.21672852661062297,0.0,-66.40625,66.40625,14.628264100844218
C2_BG3_17.bin,0.14948065287716686,0.0,-70.3125,74.21875,14.859559415914521
C2_BG3_16.bin,0.1885905645131287,0.0,-70.3125,70.3125,14.615200701765607
C2_BG3_20.bin,0.05937510438685835,0.0,-70.3125,66.40625,14.659335926724571
C2_BG3_18.bin,0.13370542331108815,0.0,-70.3125,66.40625,14.753053115760975
C2_BG3_21.bin,-0.019551049124180507,0.0,-70.3125,70.3125,14.73855802326296
C2_BG3_19.bin,0.08306685827009948,0.0,-66.40625,66.40625,14.720144762031985
C2_BG3_2.bin,-0.021559871076354275,0.0,-70.3125,70.3125,14.670753528295728
C2_BG3_23.bin,0.0933625591117151,0.0,-66.40625,70.3125,14.730807180182243
C2_BG3_22.bin,-0.14328815253412788,0.0,-66.40625,66.40625,14.579885733118209
C2_BG3_27.bin,0.008205619658393193,0.0,-66.40625,70.3125,14.615975810458306
C2_BG3_25.bin,-0.09952693125939106,0.0,-70.3125,70.3125,14.604759614798246
C2_BG3_26.bin,-0.052781386590516684,0.0,-66.40625,70.3125,14.547977398288928
C2_BG3_24.bin,0.0392466459189764,0.0,-74.21875,78.125,14.733071588409217
C2_BG3_29.bin,-0.10552331557364916,0.0,-66.40625,70.3125,14.56759501736688
C2_BG3_28.bin,-0.049295443712405726,0.0,-70.3125,70.3125,14.684009948927743
C2_BG3_30.bin,-0.011078211609838878,0.0,-66.40625,66.40625,14.538996054016122
C2_BG3_3.bin,0.11733012557726558,0.0,-70.3125,70.3125,14.3107532252231
C2_BG3_4.bin,0.18755372797849837,0.0,-62.5,66.40625,13.955421078956485
C2_BG3_8.bin,0.024058983100480213,0.0,-62.5,66.40625,13.905850101758917
C2_BG3_5.bin,0.043953821279097305,0.0,-66.40625,70.3125,14.079715138560706
C2_BG3_9.bin,0.14609120533592615,0.0,-66.40625,66.40625,14.44298036564413
C2_BG3_7.bin,0.03518094968088375,0.0,-66.40625,66.40625,13.96984390064705
C2_BG3_6.bin,-0.04850355687906146,0.0,-62.5,66.40625,14.023567337663826
C2_BGHV2_1.bin,0.16258995459384187,0.0,-70.3125,70.3125,14.60609677595758
C2_BGHV2_10.bin,-0.016398737896625055,0.0,-66.40625,66.40625,14.550622699850027
C2_BGHV2_14.bin,-0.11480874539847727,0.0,-74.21875,70.3125,14.94943625668443
C2_BGHV2_12.bin,0.08705090460776344,0.0,-66.40625,66.40625,14.725872501205085
C2_BGHV2_13.bin,0.05666815625255029,0.0,-70.3125,70.3125,14.946229961645416
C2_BGHV2_11.bin,0.0015974470949899908,0.0,-70.3125,70.3125,14.509784913897981
C2_BGHV2_17.bin,-0.0977681377104439,0.0,-74.21875,70.3125,15.024103825950174
C2_BGHV2_15.bin,-0.011641166186478783,0.0,-66.40625,74.21875,14.873024884311139
C2_BGHV2_16.bin,-0.07412678017722814,0.0,-70.3125,70.3125,14.136128292838693
C2_BGHV2_2.bin,0.09950896046790915,0.0,-74.21875,74.21875,14.815872136785257
C2_BGHV2_18.bin,0.21785209174762252,0.0,-70.3125,70.3125,14.716054320079788
C2_BGHV2_19.bin,0.07451784022664974,0.0,-70.3125,82.03125,14.835371637662673
C2_BGHV2_21.bin,0.11231080538249145,0.0,-70.3125,70.3125,14.433186541467444
C2_BGHV2_20.bin,0.12661399272457352,0.0,-74.21875,70.3125,14.413313429665214
C2_BGHV2_23.bin,0.028411821332903417,0.0,-70.3125,74.21875,15.059800629701442
C2_BGHV2_22.bin,-0.0674111735343135,0.0,-74.21875,74.21875,14.986968069214454
C2_BGHV2_24.bin,0.0011505213242224317,0.0,-70.3125,70.3125,14.74886971689029
C2_BGHV2_27.bin,0.14381868155222433,0.0,-66.40625,78.125,14.39184901482167
C2_BGHV2_25.bin,0.12481027219692158,0.0,-78.125,78.125,14.811964935294302
C2_BGHV2_26.bin,0.1763630035872075,0.0,-74.21875,74.21875,14.494061121655882
C2_BGHV2_28.bin,0.30457756876181136,0.0,-74.21875,70.3125,14.44278221519194
C2_BGHV2_29.bin,0.004015299888067285,0.0,-70.3125,74.21875,14.612639824214384
C2_BGHV2_6.bin,0.07486748932178695,0.0,-70.3125,70.3125,14.670116788467576
C2_BGHV2_30.bin,0.1845959701022036,0.0,-70.3125,70.3125,14.561524803664739
C2_BGHV2_3.bin,0.0906731910995089,0.0,-70.3125,70.3125,14.96162759984228
C2_BGHV2_7.bin,0.01870798460205079,0.0,-74.21875,74.21875,14.528458445342398
C2_BGHV_1.bin,-0.49458157509193046,0.0,-113.28125,121.09375,14.798522639369907
C2_BGHV2_5.bin,0.20366415187265274,0.0,-66.40625,78.125,14.86034644233973
C2_BGHV2_4.bin,0.16779249872785548,0.0,-74.21875,70.3125,14.769196944966092
C2_BGHV2_8.bin,0.06904417154288728,0.0,-74.21875,78.125,14.464826989041137
C2_BGHV_10.bin,-0.42851821091876036,0.0,-125.0,97.65625,15.09953160642741
C2_BGHV_11.bin,-0.19456468067272442,0.0,-117.1875,109.375,15.248564888707572
C2_BGHV2_9.bin,-0.12964714979121628,0.0,-70.3125,70.3125,14.524895146516794
C2_BGHV_12.bin,-0.27585672794929506,0.0,-113.28125,109.375,15.423584938413152
C2_BGHV_13.bin,-0.27585672794929506,0.0,-113.28125,109.375,15.423584938413152
C2_BGHV_14.bin,-0.26503401411400335,0.0,-117.1875,117.1875,15.293269531823306
C2_BGHV_15.bin,-0.4608160205749373,0.0,-105.46875,109.375,15.188393779958
C2_BGHV_16.bin,-0.45512748373215195,0.0,-113.28125,105.46875,15.068622131729937
C2_BGHV_17.bin,-0.3798826077892449,0.0,-97.65625,105.46875,15.094718718982435
C2_BGHV_21.bin,-0.3560017699260636,0.0,-117.1875,125.0,14.873016712138716
C2_BGHV_18.bin,-0.4439469167447422,0.0,-117.1875,128.90625,15.05044340927916
